タイムスタンプ,あなたの性別は？,あなたの年代は？,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，最も当てはまるものを1つ選択してください(必須)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，2番目に当てはまるものを1つ選択してください(任意)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，3番目に当てはまるものを1つ選択してください(任意)．,その他，普段よく遊ばれるジャンルがあれば，当てはまるものを複数選択してください．,上記で選択した遊び(普段よくする遊び)を行うときは，1日でお金を平均で幾らほど使われますか？,上記で選択した遊び(普段よくする遊び)を行うときは，自然に囲まれた中で遊びたい気分のときが多いですか？それとも街や駅前に出て遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，エキサイティングな遊びをしたい気分のときが多いですか？それとも，ゆったりのんびり遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，遠出したい気分のときが多いですか？それとも近場で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，色々な場所を転々としたい気分のときが多いですか？それとも1か所にとどまって遊びたい気分の時が多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，室内で遊びたい気分のときが多いですか？それとも室外で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，何人の友達と遊びに行くことが多いですか？平均してお答えください．,上記で選択した遊び(普段よくする遊び)を行うときは，人(友達など)とどのくらい会話をしますか？（%の値は～したいという気持ちの度合いです）,現在，身体的に疲れを感じていますか？（%の値は疲労の度合いです）,現在，精神的に疲れを感じていますか？（%の値は疲労の度合いです）,明後日に予定(会社や大学などの外せない予定)はありますか？（%の値は予定の無さ具合です）,あなたは明日遊びに行くとするならば，どの遊びを選択しますか？次のジャンルのうち，明後日の予定や現在の身体的・精神的状態を考慮した後，当てはまるものを1つ選択してください．,通常，自分から話を始めることはない,どちらかというと控えめで，静かな性格である,深く考えるより，すぐに行動したい,リーダーとして皆を引っ張っていきたい,近くでイベントがあれば参加するほうだ,どちらかというと，開放的で，陽気なタイプだと思う
2020/08/10 21:34:16,男性,20代,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,遊園地・動物園・水族館・海水浴場,"アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）, エンタメ（ボウリング場・カラオケ・ゲームセンターなど）, 観光（観光名所巡り・日帰り温泉・食べ歩きなど）, 遊園地・動物園・水族館・海水浴場, 外での買い物（アウトレットなど）",3 : 6000円〜9000円,2 : 自然に囲まれた中で遊びたい (80%),2 : ゆったりのんびり過ごしたい (80%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),5 : 室外 (80%),2 : 2人,5 : たくさん会話をする (80%),4 : どちらかといえば疲れを感じている (60%),4 : どちらかといえば疲れを感じている (60%),4 : 朝から外せない予定がある (0%),アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,4 : 少し当てはまる,5 : 当てはまる,3 : あまり当てはまらない,2 : 当てはまらない,2 : 当てはまらない,3 : あまり当てはまらない
2020/08/10 21:35:07,男性,20代,友達との飲み会（外飲み・飲み歩きなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,4 : 9000円〜12000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),5 : 遠出したい (80%),4 : どちらかといえば色々な場所を巡りたい (60%),4 : どちらかといえば室外 (60%),3 : 3人,4 : 会話をする (60%),3 : どちらかといえば疲れを感じていない (40%),3 : どちらかといえば疲れを感じていない (40%),3 : 午後から予定がある (50%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,3 : あまり当てはまらない,1 : 全く当てはまらない,4 : 少し当てはまる,6: とても当てはまる,2 : 当てはまらない,3 : あまり当てはまらない
2020/08/10 21:35:50,男性,20代,友達との飲み会（外飲み・飲み歩きなど）,外での買い物（アウトレットなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,"観光（観光名所巡り・日帰り温泉・食べ歩きなど）, ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）",4 : 9000円〜12000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),2 : 近場が良い (80%),5 : 色々な場所を巡りたい (80%),3 : どちらかといえば室内 (60%),2 : 2人,6 : 会話がすることがメイン (100%),2 : 疲れを感じていない (20%),3 : どちらかといえば疲れを感じていない (40%),3 : 午後から予定がある (50%),アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,2 : 当てはまらない,1 : 全く当てはまらない,4 : 少し当てはまる,3 : あまり当てはまらない,3 : あまり当てはまらない,5 : 当てはまる
2020/08/10 21:36:33,男性,20代,友達との飲み会（外飲み・飲み歩きなど）,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,,,3 : 6000円〜9000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),2 : ゆったりのんびり過ごしたい (80%),3 : どちらかといえば近場が良い (60%),3 : どちらかといえば1か所にとどまりたい (60%),3 : どちらかといえば室内 (60%),2 : 2人,4 : 会話をする (60%),4 : どちらかといえば疲れを感じている (60%),4 : どちらかといえば疲れを感じている (60%),1 : 1日中空いている (100%),友達との飲み会（外飲み・飲み歩きなど）,3 : あまり当てはまらない,4 : 少し当てはまる,5 : 当てはまる,1 : 全く当てはまらない,3 : あまり当てはまらない,4 : 少し当てはまる
2020/08/10 21:38:09,女性,20代,友達との飲み会（外飲み・飲み歩きなど）,外での買い物（アウトレットなど）,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,"友達との飲み会（外飲み・飲み歩きなど）, 外での買い物（アウトレットなど）, ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）",2 : 3000円〜6000円,5 : 街や駅前に出て遊びたい (80%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),2 : 近場が良い (80%),3 : どちらかといえば1か所にとどまりたい (60%),2 : 室内 (80%),2 : 2人,4 : 会話をする (60%),5 : 疲れを感じている (80%),5 : 疲れを感じている (80%),4 : 朝から外せない予定がある (0%),友達との飲み会（外飲み・飲み歩きなど）,2 : 当てはまらない,1 : 全く当てはまらない,5 : 当てはまる,2 : 当てはまらない,2 : 当てはまらない,5 : 当てはまる
2020/08/10 22:01:40,男性,20代,友達との飲み会（外飲み・飲み歩きなど）,,,,2 : 3000円〜6000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),1 : 絶対にゆったりのんびり過ごしたい (100%),2 : 近場が良い (80%),2 : 1か所にとどまりたい (80%),1 : 絶対に室内 (100%),6 : 6人以上,4 : 会話をする (60%),2 : 疲れを感じていない (20%),4 : どちらかといえば疲れを感じている (60%),5 : だいたい予定が詰まっている (25%),友達との飲み会（外飲み・飲み歩きなど）,6 : とても当てはまる,6: とても当てはまる,4 : 少し当てはまる,1 : 全く当てはまらない,2 : 当てはまらない,1 : 全く当てはまらない
2020/08/10 22:23:00,男性,20代,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,,,,1 : 〜3000円,2 : 自然に囲まれた中で遊びたい (80%),2 : ゆったりのんびり過ごしたい (80%),5 : 遠出したい (80%),3 : どちらかといえば1か所にとどまりたい (60%),5 : 室外 (80%),2 : 2人,4 : 会話をする (60%),2 : 疲れを感じていない (20%),3 : どちらかといえば疲れを感じていない (40%),2 : だいたい空いている (75%),観光（観光名所巡り・日帰り温泉・食べ歩きなど）,,,,,,
2020/08/10 22:26:37,男性,20代,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,友達との飲み会（外飲み・飲み歩きなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,"遊園地・動物園・水族館・海水浴場, 外での買い物（アウトレットなど）, ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）",4 : 9000円〜12000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),5 : エキサイティングな遊びをしたい (80%),5 : 遠出したい (80%),4 : どちらかといえば色々な場所を巡りたい (60%),5 : 室外 (80%),2 : 2人,5 : たくさん会話をする (80%),2 : 疲れを感じていない (20%),4 : どちらかといえば疲れを感じている (60%),4 : 朝から外せない予定がある (0%),友達との飲み会（外飲み・飲み歩きなど）,4 : 少し当てはまる,3 : あまり当てはまらない,5 : 当てはまる,3 : あまり当てはまらない,3 : あまり当てはまらない,5 : 当てはまる
2020/08/10 22:39:43,男性,20代,外での買い物（アウトレットなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,"観光（観光名所巡り・日帰り温泉・食べ歩きなど）, 友達との飲み会（外飲み・飲み歩きなど）",3 : 6000円〜9000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),3 : どちらかといえば近場が良い (60%),4 : どちらかといえば色々な場所を巡りたい (60%),3 : どちらかといえば室内 (60%),3 : 3人,3 : 少しだけ会話をする (40%),2 : 疲れを感じていない (20%),2 : 疲れを感じていない (20%),1 : 1日中空いている (100%),外での買い物（アウトレットなど）,5 : 当てはまる,5 : 当てはまる,5 : 当てはまる,4 : 少し当てはまる,4 : 少し当てはまる,1 : 全く当てはまらない
2020/08/10 22:42:19,男性,20代,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,外での買い物（アウトレットなど）,遊園地・動物園・水族館・海水浴場,友達との飲み会（外飲み・飲み歩きなど）,4 : 9000円〜12000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),5 : エキサイティングな遊びをしたい (80%),5 : 遠出したい (80%),6 : 絶対に色々な場所を巡りたい (100%),6 : 絶対に室外 (100%),2 : 2人,5 : たくさん会話をする (80%),1 : 疲れを全く感じていない (0%),1 : 疲れを全く感じていない (0%),1 : 1日中空いている (100%),スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,1 : 全く当てはまらない,2 : 当てはまらない,5 : 当てはまる,5 : 当てはまる,4 : 少し当てはまる,4 : 少し当てはまる
2020/08/10 23:11:15,女性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,,2 : 3000円〜6000円,2 : 自然に囲まれた中で遊びたい (80%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),4 : どちらかといえば遠出したい (60%),2 : 1か所にとどまりたい (80%),3 : どちらかといえば室内 (60%),2 : 2人,4 : 会話をする (60%),6 : 疲れをとても感じている (100%),6 : 疲れをとても感じている (100%),4 : 朝から外せない予定がある (0%),観光（観光名所巡り・日帰り温泉・食べ歩きなど）,1 : 全く当てはまらない,3 : あまり当てはまらない,1 : 全く当てはまらない,1 : 全く当てはまらない,4 : 少し当てはまる,3 : あまり当てはまらない
2020/08/11 1:03:41,男性,20代,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,,,,2 : 3000円〜6000円,1 : 絶対に自然に囲まれた中で遊びたい (100%),6 : 絶対にエキサイティングな遊びをしたい (100%),3 : どちらかといえば近場が良い (60%),4 : どちらかといえば色々な場所を巡りたい (60%),6 : 絶対に室外 (100%),2 : 2人,6 : 会話がすることがメイン (100%),3 : どちらかといえば疲れを感じていない (40%),3 : どちらかといえば疲れを感じていない (40%),5 : だいたい予定が詰まっている (25%),観光（観光名所巡り・日帰り温泉・食べ歩きなど）,1 : 全く当てはまらない,6: とても当てはまる,4 : 少し当てはまる,1 : 全く当てはまらない,4 : 少し当てはまる,1 : 全く当てはまらない
2020/08/11 1:21:11,男性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,友達との飲み会（外飲み・飲み歩きなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,"エンタメ（ボウリング場・カラオケ・ゲームセンターなど）, 友達との飲み会（外飲み・飲み歩きなど）",4 : 9000円〜12000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),3 : どちらかといえば近場が良い (60%),5 : 色々な場所を巡りたい (80%),2 : 室内 (80%),4 : 4人,5 : たくさん会話をする (80%),5 : 疲れを感じている (80%),6 : 疲れをとても感じている (100%),5 : だいたい予定が詰まっている (25%),ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,3 : あまり当てはまらない,5 : 当てはまる,2 : 当てはまらない,4 : 少し当てはまる,4 : 少し当てはまる,3 : あまり当てはまらない
2020/08/11 7:00:15,男性,20代,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,遊園地・動物園・水族館・海水浴場,,1 : 〜3000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),2 : ゆったりのんびり過ごしたい (80%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),4 : どちらかといえば室外 (60%),3 : 3人,4 : 会話をする (60%),3 : どちらかといえば疲れを感じていない (40%),3 : どちらかといえば疲れを感じていない (40%),5 : だいたい予定が詰まっている (25%),観光（観光名所巡り・日帰り温泉・食べ歩きなど）,4 : 少し当てはまる,4 : 少し当てはまる,3 : あまり当てはまらない,2 : 当てはまらない,2 : 当てはまらない,3 : あまり当てはまらない
2020/08/11 7:57:06,男性,20代,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,友達との飲み会（外飲み・飲み歩きなど）,,2 : 3000円〜6000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),3 : どちらかといえば近場が良い (60%),3 : どちらかといえば1か所にとどまりたい (60%),4 : どちらかといえば室外 (60%),6 : 6人以上,4 : 会話をする (60%),2 : 疲れを感じていない (20%),2 : 疲れを感じていない (20%),2 : だいたい空いている (75%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,3 : あまり当てはまらない,4 : 少し当てはまる,5 : 当てはまる,4 : 少し当てはまる,4 : 少し当てはまる,3 : あまり当てはまらない
2020/08/11 13:38:47,男性,30代,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,,1 : 〜3000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),2 : ゆったりのんびり過ごしたい (80%),3 : どちらかといえば近場が良い (60%),5 : 色々な場所を巡りたい (80%),4 : どちらかといえば室外 (60%),1 : 1人(自分だけ),3 : 少しだけ会話をする (40%),4 : どちらかといえば疲れを感じている (60%),4 : どちらかといえば疲れを感じている (60%),5 : だいたい予定が詰まっている (25%),スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,3 : あまり当てはまらない,5 : 当てはまる,5 : 当てはまる,5 : 当てはまる,4 : 少し当てはまる,4 : 少し当てはまる
2020/08/11 17:32:13,男性,20代,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,友達との飲み会（外飲み・飲み歩きなど）,,2 : 3000円〜6000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),2 : ゆったりのんびり過ごしたい (80%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),5 : 室外 (80%),2 : 2人,4 : 会話をする (60%),2 : 疲れを感じていない (20%),3 : どちらかといえば疲れを感じていない (40%),2 : だいたい空いている (75%),外での買い物（アウトレットなど）,4 : 少し当てはまる,5 : 当てはまる,5 : 当てはまる,3 : あまり当てはまらない,3 : あまり当てはまらない,3 : あまり当てはまらない
2020/08/11 19:17:36,男性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,友達との飲み会（外飲み・飲み歩きなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,6 : 15000円〜,4 : どちらかといえば街や駅前に出て遊びたい (60%),5 : エキサイティングな遊びをしたい (80%),3 : どちらかといえば近場が良い (60%),2 : 1か所にとどまりたい (80%),3 : どちらかといえば室内 (60%),4 : 4人,5 : たくさん会話をする (80%),4 : どちらかといえば疲れを感じている (60%),3 : どちらかといえば疲れを感じていない (40%),1 : 1日中空いている (100%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,5 : 当てはまる,4 : 少し当てはまる,5 : 当てはまる,3 : あまり当てはまらない,4 : 少し当てはまる,5 : 当てはまる
2020/08/14 11:44:00,男性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,2 : 3000円〜6000円,5 : 街や駅前に出て遊びたい (80%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),2 : 室内 (80%),1 : 1人(自分だけ),4 : 会話をする (60%),1 : 疲れを全く感じていない (0%),2 : 疲れを感じていない (20%),2 : だいたい空いている (75%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,3 : あまり当てはまらない,3 : あまり当てはまらない,5 : 当てはまる,3 : あまり当てはまらない,4 : 少し当てはまる,3 : あまり当てはまらない
